age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex_selfID,capital-gain,capital-loss,hours-per-week,native-country,income
37,Local-gov,397877,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Non-Female,0,0,40,United-States,>50K
42,Private,56483,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
39,Private,352248,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Non-Female,0,0,40,United-States,<=50K
39,Private,209867,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,13550,0,45,United-States,>50K
37,Private,468713,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Non-Female,0,0,40,United-States,<=50K
42,Local-gov,182302,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Non-Female,0,0,40,United-States,<=50K
31,Private,129804,9th,5,Never-married,Farming-fishing,Not-in-family,White,Non-Female,0,0,40,Puerto-Rico,<=50K
62,N/A,81578,HS-grad,9,Married-civ-spouse,N/A,Husband,White,Non-Female,0,0,40,United-States,>50K
34,Private,117963,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Non-Female,0,0,50,United-States,>50K
52,Private,222107,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,50,United-States,<=50K
28,Private,96020,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,113667,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,25,United-States,<=50K
31,Self-emp-not-inc,234537,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Non-Female,0,0,60,United-States,<=50K
72,N/A,271352,10th,6,Divorced,N/A,Not-in-family,White,Non-Female,0,0,12,United-States,<=50K
21,Private,322144,Some-college,10,Never-married,Other-service,Not-in-family,White,Non-Female,0,0,40,United-States,<=50K
40,Private,20109,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,Amer-Indian-Inuit,Female,0,0,84,United-States,<=50K
46,Private,265275,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Non-Female,0,0,60,United-States,<=50K
29,Private,37933,Bachelors,13,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K
56,Self-emp-not-inc,140558,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Non-Female,0,0,40,United-States,<=50K
54,State-gov,312897,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Non-Female,0,0,46,England,>50K
26,Private,199143,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Non-Female,0,0,50,United-States,<=50K
18,Private,169652,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,<=50K
50,Private,77905,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States,<=50K
45,Private,112305,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
52,Private,347519,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,0,0,55,United-States,>50K
22,Private,204160,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
63,Self-emp-not-inc,129845,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Non-Female,0,0,40,United-States,<=50K
43,Private,200355,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Non-Female,0,0,70,United-States,>50K
22,State-gov,334693,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
31,Private,509364,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Non-Female,0,0,45,Mexico,<=50K
23,Private,136824,Some-college,10,Never-married,Other-service,Own-child,White,Non-Female,0,0,20,United-States,<=50K
33,Private,212918,Some-college,10,Never-married,Tech-support,Not-in-family,White,Non-Female,0,0,70,United-States,<=50K
24,Private,278130,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Non-Female,0,0,40,United-States,<=50K
24,Private,259865,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
37,Private,179088,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
51,State-gov,82504,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,0,0,40,United-States,<=50K
33,Private,209900,Some-college,10,Never-married,Tech-support,Own-child,White,Non-Female,0,0,20,United-States,<=50K
40,Private,34722,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Non-Female,0,0,48,United-States,>50K
46,Private,35136,10th,6,Divorced,Adm-clerical,Own-child,Black,Non-Female,0,0,40,United-States,<=50K
70,Private,174032,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Non-Female,0,0,40,United-States,<=50K
47,Private,155509,HS-grad,9,Separated,Other-service,Other-relative,Black,Female,0,0,35,United-States,<=50K
38,Private,143123,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,0,0,40,United-States,>50K
19,Private,39756,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
78,N/A,292019,7th-8th,4,Married-civ-spouse,N/A,Husband,White,Non-Female,0,0,20,United-States,<=50K
39,Private,51100,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Non-Female,0,0,40,United-States,>50K
17,Private,200199,11th,7,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
31,Private,374833,1st-4th,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Non-Female,0,0,40,Mexico,<=50K
32,Self-emp-not-inc,210926,11th,7,Separated,Handlers-cleaners,Unmarried,White,Female,0,0,40,Nicaragua,<=50K
34,N/A,190027,HS-grad,9,Never-married,N/A,Unmarried,Black,Female,0,0,40,United-States,<=50K
42,Self-emp-not-inc,436107,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Non-Female,0,0,50,United-States,<=50K
18,Private,301867,HS-grad,9,Never-married,Sales,Own-child,Amer-Indian-Inuit,Female,0,0,20,United-States,<=50K
26,Local-gov,73392,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Inuit,Non-Female,0,0,30,United-States,<=50K
38,Local-gov,40955,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Non-Female,0,0,43,United-States,<=50K
51,Self-emp-not-inc,160724,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Non-Female,0,2415,40,China,>50K
58,Self-emp-not-inc,274917,Masters,14,Widowed,Other-service,Not-in-family,White,Female,0,0,15,United-States,<=50K
24,Private,154571,Assoc-voc,11,Never-married,Sales,Unmarried,Asian-Pac-Islander,Non-Female,0,0,50,South,<=50K
58,Private,183893,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
53,Private,163678,Some-college,10,Married-civ-spouse,Sales,Husband,White,Non-Female,0,0,40,United-States,>50K
33,Private,403468,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,Mexico,<=50K
47,Private,169324,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,35,United-States,>50K
34,Private,144949,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Non-Female,0,0,45,United-States,>50K
52,Federal-gov,76131,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,40,United-States,>50K
43,State-gov,126701,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,0,0,35,United-States,>50K
56,Private,145574,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Non-Female,0,0,40,United-States,>50K
34,Self-emp-not-inc,100079,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Non-Female,0,0,55,India,<=50K
33,Private,173248,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Non-Female,0,0,35,United-States,<=50K
25,Private,263773,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
18,N/A,97318,HS-grad,9,Never-married,N/A,Own-child,White,Female,0,0,35,United-States,<=50K
51,Local-gov,209320,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Non-Female,3325,0,40,United-States,<=50K
25,Local-gov,244408,Bachelors,13,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,0,40,Vietnam,<=50K
42,Federal-gov,198316,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,0,0,40,United-States,>50K
46,Private,133938,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,27828,0,50,United-States,>50K
26,Private,389856,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Non-Female,0,0,40,United-States,<=50K
28,Private,161674,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
34,Private,258666,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Female,0,1974,40,United-States,<=50K
25,Private,333677,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Non-Female,0,0,45,United-States,<=50K
37,Private,67125,HS-grad,9,Divorced,Sales,Not-in-family,White,Non-Female,0,0,60,United-States,<=50K
44,Self-emp-not-inc,234885,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,>50K
25,Private,146117,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Non-Female,0,0,42,United-States,<=50K
31,Self-emp-not-inc,30290,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
32,Local-gov,206609,HS-grad,9,Never-married,Other-service,Own-child,White,Non-Female,0,0,40,United-States,<=50K
28,Private,70240,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
34,Local-gov,106169,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
55,Local-gov,143949,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,3103,0,45,United-States,>50K
30,Self-emp-inc,127651,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Non-Female,0,1887,48,United-States,>50K
28,Private,328949,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Non-Female,0,0,60,United-States,<=50K
29,Private,286452,Assoc-acdm,12,Divorced,Sales,Unmarried,White,Female,3418,0,40,United-States,<=50K
41,Private,209547,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Non-Female,0,0,40,United-States,<=50K
38,Private,430035,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Non-Female,0,0,54,Mexico,<=50K
17,N/A,158762,10th,6,Never-married,N/A,Own-child,White,Female,0,0,20,United-States,<=50K
26,Private,255193,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,3411,0,40,United-States,<=50K
49,Self-emp-inc,86701,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Non-Female,0,0,56,United-States,>50K
54,Self-emp-not-inc,269068,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Non-Female,99999,0,50,Philippines,>50K
39,Private,144169,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Non-Female,0,0,50,United-States,>50K
36,Private,250238,1st-4th,2,Never-married,Other-service,Other-relative,Other,Female,0,0,40,El-Salvador,<=50K
41,Local-gov,170924,Some-college,10,Never-married,Prof-specialty,Other-relative,White,Non-Female,0,0,7,United-States,<=50K
23,Private,150463,HS-grad,9,Never-married,Priv-house-serv,Unmarried,Other,Female,0,0,40,Guatemala,<=50K
58,Self-emp-not-inc,195835,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Non-Female,0,0,45,United-States,<=50K
37,Private,127961,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Non-Female,0,0,40,United-States,<=50K
35,Private,112160,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Non-Female,0,0,40,United-States,<=50K
33,Private,104509,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
26,Private,289980,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Non-Female,0,0,30,Mexico,<=50K
41,Private,198316,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Non-Female,0,0,50,Japan,<=50K
31,Private,173858,Prof-school,15,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Non-Female,0,0,40,India,<=50K
25,Private,248313,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
29,Private,246933,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Non-Female,0,0,40,Mexico,<=50K
67,N/A,243256,9th,5,Married-civ-spouse,N/A,Husband,White,Non-Female,0,0,15,United-States,<=50K
37,Private,333651,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Non-Female,0,0,42,United-States,<=50K
40,Private,183765,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Non-Female,0,0,40,United-States,<=50K
45,Private,155659,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Non-Female,0,0,40,United-States,>50K
40,Private,285787,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Non-Female,0,0,40,United-States,>50K
22,Private,313873,11th,7,Never-married,Craft-repair,Own-child,White,Non-Female,0,0,30,United-States,<=50K
40,Private,67852,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Non-Female,0,0,35,United-States,<=50K
67,Self-emp-not-inc,116057,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,3273,0,16,United-States,<=50K
23,Private,218343,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
35,Private,184655,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Non-Female,0,0,40,United-States,<=50K
62,Local-gov,197218,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,18,United-States,<=50K
50,Private,160724,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Non-Female,7298,0,40,Philippines,>50K
62,Private,195343,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Non-Female,15020,0,50,United-States,>50K
21,Private,27162,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,16,United-States,<=50K
23,Private,163665,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,32,United-States,<=50K
49,Local-gov,34021,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,50,United-States,<=50K
30,Private,30226,11th,7,Divorced,Sales,Own-child,White,Non-Female,0,0,40,United-States,<=50K
23,Private,124971,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Non-Female,0,0,40,United-States,<=50K
40,Federal-gov,177595,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Non-Female,0,1579,40,United-States,<=50K
47,Private,235683,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
30,Private,185336,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,37,United-States,<=50K
39,Private,150125,Assoc-acdm,12,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
32,Private,190784,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Amer-Indian-Inuit,Non-Female,0,0,40,United-States,<=50K
43,Federal-gov,287008,Masters,14,Married-civ-spouse,Protective-serv,Husband,White,Non-Female,0,0,35,United-States,>50K
64,Self-emp-not-inc,65991,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Non-Female,7298,0,45,United-States,>50K
45,Private,202812,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Non-Female,0,0,40,United-States,>50K
75,Private,104896,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Non-Female,2653,0,20,United-States,<=50K
45,Private,205644,HS-grad,9,Separated,Tech-support,Not-in-family,White,Female,0,0,26,United-States,<=50K
33,Local-gov,262042,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,1138,40,United-States,<=50K
67,Self-emp-inc,182581,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,20051,0,20,United-States,>50K
24,Private,399449,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
26,Private,86483,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,45713,Some-college,10,Never-married,Craft-repair,Other-relative,White,Non-Female,0,0,40,United-States,<=50K
34,Private,172579,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
47,Private,188330,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Non-Female,0,0,25,United-States,<=50K
20,Private,55465,HS-grad,9,Never-married,Other-service,Own-child,White,Non-Female,0,0,35,United-States,<=50K
18,Self-emp-not-inc,157131,11th,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
41,Private,185145,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Non-Female,0,0,45,N/A,>50K
22,Private,167615,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
25,Private,57635,Assoc-voc,11,Married-civ-spouse,Sales,Wife,White,Female,0,0,42,United-States,>50K
28,N/A,161290,Some-college,10,Never-married,N/A,Own-child,Black,Female,0,0,40,United-States,<=50K
21,Private,33616,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,<=50K
19,Private,387215,Some-college,10,Never-married,Tech-support,Own-child,White,Non-Female,0,1719,16,United-States,<=50K
49,Private,423222,Masters,14,Married-civ-spouse,Sales,Husband,White,Non-Female,0,0,50,United-States,>50K
38,Private,183279,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,0,0,44,United-States,>50K
63,N/A,234083,HS-grad,9,Divorced,N/A,Not-in-family,White,Female,0,2205,40,United-States,<=50K
77,Private,123959,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,32,United-States,<=50K
37,Local-gov,264503,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Non-Female,0,0,40,United-States,<=50K
21,Without-pay,232719,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Non-Female,0,0,40,United-States,<=50K
39,Local-gov,98587,Some-college,10,Divorced,Prof-specialty,Own-child,White,Female,0,0,45,United-States,<=50K
62,Private,197286,12th,8,Married-civ-spouse,Farming-fishing,Husband,White,Non-Female,0,0,48,Germany,<=50K
49,Self-emp-not-inc,56841,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Non-Female,0,0,70,United-States,<=50K
20,N/A,202994,Some-college,10,Never-married,N/A,Own-child,White,Female,0,0,16,United-States,<=50K
39,Private,286789,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,0,0,40,United-States,>50K
57,Local-gov,323309,7th-8th,4,Divorced,Other-service,Not-in-family,White,Non-Female,0,0,40,United-States,<=50K
30,Private,164190,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Non-Female,0,0,38,N/A,<=50K
39,Self-emp-not-inc,331481,Bachelors,13,Divorced,Craft-repair,Not-in-family,Black,Non-Female,0,1669,60,N/A,<=50K
39,Self-emp-not-inc,122353,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,0,0,40,United-States,<=50K
52,Private,256916,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,0,0,40,United-States,<=50K
27,Private,218184,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,Jamaica,<=50K
23,Private,185554,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
43,Private,125461,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Non-Female,0,1902,55,United-States,>50K
55,Private,286230,11th,7,Divorced,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
43,N/A,396116,HS-grad,9,Married-civ-spouse,N/A,Husband,White,Non-Female,0,0,40,United-States,<=50K
22,Private,264874,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,0,0,40,United-States,<=50K
43,Private,84661,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Non-Female,0,0,45,United-States,<=50K
32,Private,62374,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Non-Female,0,0,40,United-States,<=50K
23,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Non-Female,0,0,40,United-States,<=50K
41,Private,176452,HS-grad,9,Never-married,Other-service,Own-child,White,Non-Female,0,0,40,Peru,<=50K
46,Private,563883,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Non-Female,0,0,60,United-States,>50K
58,Private,201112,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,55,United-States,>50K
37,Private,343721,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Non-Female,0,0,40,United-States,>50K
37,Private,186934,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Non-Female,3103,0,44,United-States,>50K
17,Private,186067,10th,6,Never-married,Tech-support,Own-child,White,Non-Female,0,0,10,United-States,<=50K
32,Private,260954,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Non-Female,0,2042,30,United-States,<=50K
27,Private,133425,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,<=50K
40,Federal-gov,189610,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,52,United-States,<=50K
27,Private,243569,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Non-Female,3942,0,40,United-States,<=50K
23,Private,229826,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Non-Female,0,0,40,United-States,<=50K
50,Private,297906,Some-college,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Non-Female,0,0,50,United-States,>50K
25,N/A,192321,Assoc-acdm,12,Never-married,N/A,Own-child,White,Female,0,0,80,United-States,<=50K
50,Private,129956,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Non-Female,0,0,48,United-States,>50K
43,Private,197397,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Other,Female,0,0,6,Puerto-Rico,<=50K
41,Private,112763,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,N/A,103710,Bachelors,13,Divorced,N/A,Unmarried,White,Female,0,0,16,N/A,<=50K
40,Private,176716,Some-college,10,Married-civ-spouse,Sales,Husband,White,Non-Female,0,0,40,United-States,>50K
68,Private,194746,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,Cuba,<=50K
43,Private,306440,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Non-Female,0,0,66,France,<=50K
38,Self-emp-not-inc,89202,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Non-Female,0,0,40,United-States,<=50K
31,Private,113364,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Non-Female,0,0,55,United-States,<=50K
56,Self-emp-not-inc,258752,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Non-Female,0,0,60,United-States,<=50K
38,Private,278557,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Non-Female,0,0,50,United-States,>50K
36,Private,222294,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
36,Private,297335,Bachelors,13,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,0,0,50,China,<=50K
